Date,Open,High,Low,Close,Adj Close,Volume
2017-11-15,169.970001,170.320007,168.380005,169.080002,169.080002,29158100
2017-11-16,171.179993,171.869995,170.300003,171.100006,171.100006,23637500
2017-11-17,171.039993,171.389999,169.639999,170.149994,170.149994,21899500
2017-11-20,170.289993,170.559998,169.559998,169.979996,169.979996,16262400
2017-11-21,170.779999,173.699997,170.779999,173.139999,173.139999,25131300
2017-11-22,173.360001,175.000000,173.050003,174.960007,174.960007,25588900
2017-11-24,175.100006,175.500000,174.649994,174.970001,174.970001,14026700
2017-11-27,175.050003,175.080002,173.339996,174.089996,174.089996,20716800
2017-11-28,174.300003,174.869995,171.860001,173.070007,173.070007,26428800
2017-11-29,172.630005,172.919998,167.160004,169.479996,169.479996,41666400
2017-11-30,170.429993,172.139999,168.440002,171.850006,171.850006,41527200
2017-12-01,169.949997,171.669998,168.500000,171.050003,171.050003,39759300
2017-12-04,172.479996,172.619995,169.630005,169.800003,169.800003,32542400
2017-12-05,169.059998,171.520004,168.399994,169.639999,169.639999,27350200
2017-12-06,167.500000,170.199997,166.460007,169.009995,169.009995,28560000
2017-12-07,169.029999,170.440002,168.910004,169.320007,169.320007,25673300
2017-12-08,170.490005,171.000000,168.820007,169.369995,169.369995,23355200
2017-12-11,169.199997,172.889999,168.789993,172.669998,172.669998,35273800
2017-12-12,172.149994,172.389999,171.460007,171.699997,171.699997,19409200
2017-12-13,172.500000,173.539993,172.000000,172.270004,172.270004,23818400
2017-12-14,172.399994,173.130005,171.649994,172.220001,172.220001,20438800
